New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
1,1,,02/11/2020,11800 ,34100 ,117850 ,24850 ,35450 ,27750 ,43700 ,35550 ,14250 ,14350 ,35965 
2,2,,03/11/2020,11800 ,34200 ,118150 ,24900 ,35850 ,27900 ,43850 ,35200 ,14250 ,14400 ,36050 
3,3,,04/11/2020,11800 ,34350 ,118300 ,24900 ,36050 ,27900 ,43750 ,35300 ,14250 ,14400 ,36100 
4,4,,05/11/2020,11800 ,34500 ,118250 ,24950 ,36300 ,27950 ,43600 ,35500 ,14250 ,14400 ,36150 
5,5,,06/11/2020,11800 ,34650 ,118250 ,25050 ,36700 ,28100 ,43350 ,35700 ,14250 ,14400 ,36225 
6,,,11/7/2020,11800 ,34740 ,118250 ,25090 ,37040 ,28130 ,43200 ,36060 ,14280 ,14400 ,36299 
7,,,11/8/2020,11800 ,34740 ,118250 ,25090 ,37040 ,28130 ,43200 ,36060 ,14280 ,14400 ,36299 
8,6,,09/11/2020,11800 ,34900 ,118250 ,25150 ,37400 ,28200 ,42950 ,36400 ,14300 ,14400 ,36375 
9,7,,10/11/2020,11800 ,34900 ,118250 ,25200 ,37750 ,28250 ,42900 ,36650 ,14300 ,14400 ,36440 
10,8,,11/11/2020,11800 ,35000 ,118250 ,25300 ,38000 ,28300 ,42700 ,36650 ,14300 ,14400 ,36470 
11,9,,12/11/2020,11800 ,35100 ,118350 ,25400 ,38200 ,28400 ,42300 ,36600 ,14300 ,14400 ,36485 
12,10,,11/13/2020,11800 ,35100 ,118350 ,25550 ,38350 ,28500 ,42100 ,36350 ,14300 ,14350 ,36475 
13,,,11/14/2020,11800 ,35210 ,118340 ,25710 ,38360 ,28540 ,41880 ,36590 ,14300 ,14390 ,36512 
14,,Nov,11/15/2020,11800 ,35210 ,118340 ,25710 ,38360 ,28540 ,41880 ,36590 ,14300 ,14390 ,36512 
15,11,,16/11/2020,11800 ,35300 ,118300 ,25900 ,38450 ,28650 ,41650 ,36700 ,14300 ,14400 ,36545 
16,12,,17/11/2020,11800 ,35350 ,118350 ,26000 ,38450 ,28600 ,41450 ,36700 ,14300 ,14400 ,36540 
17,13,,18/11/2020,11800 ,35200 ,118200 ,26000 ,38300 ,28750 ,41300 ,36400 ,14350 ,14400 ,36470 
18,14,,19/11/2020,11800 ,35250 ,118250 ,26050 ,38350 ,28750 ,41150 ,36150 ,14350 ,14400 ,36450 
19,15,,20/11/2020,11800 ,35300 ,118250 ,26150 ,38450 ,28750 ,41150 ,36150 ,14350 ,14400 ,36475 
20,,,11/21/2020,11800 ,35280 ,118440 ,26200 ,38310 ,28790 ,40990 ,36240 ,14350 ,14400 ,36480 
21,,,11/22/2020,11800 ,35280 ,118440 ,26200 ,38310 ,28790 ,40990 ,36240 ,14350 ,14400 ,36480 
22,16,,23/11/2020,11800 ,35250 ,118700 ,26300 ,38300 ,28800 ,40800 ,36200 ,14350 ,14400 ,36490 
23,17,,24/11/2020,11800 ,35300 ,118550 ,26300 ,38150 ,28850 ,40850 ,36450 ,14350 ,14400 ,36500 
24,18,,25/11/2020,11800 ,35350 ,118500 ,26300 ,38100 ,28850 ,40750 ,36750 ,14350 ,14400 ,36515 
25,19,,26/11/2020,11800 ,35400 ,118500 ,26300 ,38000 ,28900 ,41150 ,37500 ,14350 ,14400 ,36630 
26,20,,27/11/2020,11800 ,35250 ,118500 ,26300 ,37850 ,28800 ,42150 ,38050 ,14350 ,14400 ,36745 
27,,,11/28/2020,11800 ,35180 ,118460 ,26330 ,37790 ,28810 ,43280 ,39860 ,14350 ,14400 ,37026 
28,,,11/29/2020,11800 ,35180 ,118460 ,26330 ,37790 ,28810 ,43280 ,39860 ,14350 ,14400 ,37026 
29,21,,30/11/2020,11800 ,35050 ,118450 ,26350 ,37750 ,28800 ,44500 ,41300 ,14350 ,14400 ,37275 
30,22,,01/12/2020,11800 ,35000 ,118400 ,26350 ,37550 ,28750 ,45300 ,42600 ,14350 ,14400 ,37450 
31,23,,02/12/2020,11800 ,34850 ,118450 ,26350 ,37500 ,28750 ,45700 ,42600 ,14400 ,14350 ,37475 
32,24,,03/12/2020,11800 ,34750 ,118400 ,26400 ,37150 ,28750 ,46550 ,42750 ,14400 ,14350 ,37530 
33,25,,04/12/2020,11800 ,34650 ,118400 ,26450 ,37450 ,28750 ,47450 ,43800 ,14400 ,14350 ,37750 
34,,,12/5/2020,11800 ,34550 ,118450 ,26660 ,37400 ,28730 ,47960 ,44880 ,14400 ,14350 ,37918 
35,,,12/6/2020,11800 ,34550 ,118450 ,26660 ,37400 ,28730 ,47960 ,44880 ,14400 ,14350 ,37918 
36,26,,07/12/2020,11800 ,34450 ,118500 ,26800 ,37500 ,28700 ,48650 ,46250 ,14400 ,14350 ,38140 
37,27,,08/12/2020,11800 ,34350 ,118500 ,27000 ,37500 ,28700 ,49200 ,46700 ,14400 ,14350 ,38250 
38,,,12/9/2020,11800,34600,118600,27200,37400,28700,49500,47000,14400,14400,38360 
39,28,,10/12/2020,11800 ,34600 ,118600 ,27300 ,37350 ,28750 ,50050 ,47350 ,14400 ,14350 ,38455 
40,29,,11/12/2020,11800 ,34800 ,118600 ,27500 ,37250 ,28750 ,50250 ,47750 ,14400 ,14350 ,38545 
41,,,12/12/2020,11800 ,35090 ,118640 ,27790 ,37180 ,28700 ,50560 ,47610 ,14400 ,14360 ,38613 
42,,,12/13/2020,11800 ,35090 ,118640 ,27790 ,37180 ,28700 ,50560 ,47610 ,14400 ,14360 ,38613 
43,30,,14/12/2020,11800 ,35400 ,118650 ,28100 ,37100 ,28650 ,50800 ,47400 ,14400 ,14350 ,38665 
44,31,Dec,15/12/2020,11800 ,35550 ,118700 ,28250 ,37000 ,28650 ,51150 ,47950 ,14400 ,14400 ,38785 
45,32,,16/12/2020,11800 ,35900 ,118850 ,28350 ,36850 ,28650 ,51300 ,47800 ,14400 ,14350 ,38825 
46,33,,17/12/2020,11800 ,35950 ,118700 ,28400 ,36400 ,28650 ,51900 ,48300 ,14400 ,14350 ,38885 
47,34,,18/12/2020,11800 ,36100 ,118850 ,28450 ,36700 ,28650 ,52650 ,48450 ,14400 ,14350 ,39040 
48,,,12/19/2020,11800 ,36150 ,118800 ,28580 ,36310 ,28580 ,54030 ,50480 ,14400 ,14350 ,39348 
49,,,12/20/2020,11800 ,36150 ,118800 ,28580 ,36310 ,28580 ,54030 ,50480 ,14400 ,14350 ,39348 
50,35,,21/12/2020,11800 ,36100 ,118850 ,28800 ,36150 ,28450 ,54950 ,51700 ,14400 ,14350 ,39555 
51,36,,22/12/2020,11800 ,36450 ,118800 ,28650 ,36000 ,28550 ,56600 ,53450 ,14400 ,14350 ,39905 
52,37,,23/12/2020,11800 ,36300 ,118850 ,28850 ,35850 ,28500 ,57300 ,53450 ,14400 ,14400 ,39970 
