Tanggal,Tavg,RH_avg,RR
02-11-2020,27.5,87,25.2
03-11-2020,27.9,86,0
04-11-2020,28.9,79,4.5
05-11-2020,27.4,80,1.5
06-11-2020,28.7,81,9
07-11-2020,29.8,80,0
08-11-2020,29.5,80,15.5
09-11-2020,29,83,34
10-11-2020,29.2,81,11
11-11-2020,28.8,82,4.1
12-11-2020,30.7,74,0
13-11-2020,31.1,72,0
14-11-2020,30.1,79,0
15-11-2020,29.5,80,0.6
16-11-2020,32.3,65,0
17-11-2020,29.8,81,16.4
18-11-2020,27.8,86,8.5
19-11-2020,29.4,80,15
20-11-2020,28.7,84,1.2
21-11-2020,28.9,87,19.6
22-11-2020,28.3,84,0
23-11-2020,28,86,0
24-11-2020,28,85,1.1
25-11-2020,27.6,86,13.4
26-11-2020,27.7,84,1.5
27-11-2020,28.4,82,0
28-11-2020,28,86,0.3
29-11-2020,26,94,0.5
30-11-2020,27.1,85,52
01-12-2020,28.4,83,0
02-12-2020,27.9,85,1
03-12-2020,27.7,88,87.5
04-12-2020,28.2,85,0
05-12-2020,28,84,5
06-12-2020,25.9,90,7.8
07-12-2020,25.2,95,23.1
08-12-2020,28.4,80,18
09-12-2020,27.9,82,20.7
10-12-2020,27.4,89,14.1
11-12-2020,27.6,88,27.9
12-12-2020,27.7,88,15
13-12-2020,27,92,14.5
14-12-2020,26.8,90,0
15-12-2020,27.1,89,1.8
16-12-2020,26.8,90,1.8
17-12-2020,26.9,90,11.5
18-12-2020,26.4,90,11.8
19-12-2020,26.9,86,61.6
20-12-2020,27.6,84,9.2
21-12-2020,27.8,82,0
22-12-2020,28.2,86,0
23-12-2020,28.1,86,0
24-12-2020,28.4,83,7.3
25-12-2020,28.6,81,10
26-12-2020,28.3,85,2
27-12-2020,28,85,1
28-12-2020,28.1,86,2.4
29-12-2020,27.7,90,13
30-12-2020,27,88,3.4
31-12-2020,27.3,87,8.7
01-01-2021,27.6,85,1.6
02-01-2021,27.8,84,3.5
03-01-2021,27.6,85,0
04-01-2021,27.6,84,2.3
05-01-2021,27.1,88,8
06-01-2021,28,86,3.45
07-01-2021,27,88,0
08-01-2021,27.4,87,1
09-01-2021,26.8,89,43.5
10-01-2021,27.6,86,7.7
11-01-2021,28,88,3.3
12-01-2021,27.9,85,0.3
13-01-2021,27.4,88,6.5
14-01-2021,26.8,88,8.8
15-01-2021,27.4,87,0.5
16-01-2021,27.1,88,7.1
17-01-2021,26.6,90,2
18-01-2021,25.8,94,19.2
19-01-2021,24.5,96,57.8
20-01-2021,27.9,86,7.8
21-01-2021,27.1,88,0
22-01-2021,26.8,89,10.4
23-01-2021,26.1,89.5,10.6
24-01-2021,26.7,90,0
25-01-2021,27.2,86,5.2
26-01-2021,26.6,87,0
27-01-2021,26.1,91,12
28-01-2021,26.4,90,10.2
29-01-2021,25.6,94,8.7
30-01-2021,25.3,93,16.9
31-01-2021,25.5,96,24.9
01-02-2021,26.8,90,12.7
02-02-2021,27,90,6.7
03-02-2021,26.8,90,5
04-02-2021,26.45,91.67,71
05-02-2021,26.45,91.67,29
06-02-2021,26.45,91.67,173.5
07-02-2021,26.1,94,42.1
08-02-2021,25.2,96,41.1
09-02-2021,26.8,90,33.7
10-02-2021,27,94,6.2
11-02-2021,27.3,90,4
12-02-2021,27.5,91,20.6
13-02-2021,27.3,92,10.2
14-02-2021,27.2,91,0
15-02-2021,27,92,16.4
16-02-2021,27.4,88,5.5
17-02-2021,26.7,93,5.2
18-02-2021,26.8,92,0
19-02-2021,25,94,4.2
20-02-2021,25.8,92,18.9
21-02-2021,27.4,89,1.4
22-02-2021,27.4,90,1
23-02-2021,26,91,0.8
